日期,地點,客隊,,主隊,,人數
,,全壘打,失誤,全壘打,失誤,
2016/10/14(五),桃園,中信兄弟,,Lamigo桃猿,,4240
,,,,,,
,,1,1,0,1,
2016/10/13(四),斗六,Lamigo桃猿,,統一7-ELEVEn獅,,4977
,,,,,,
,,,,,,
,,,,,,
,,0,2,3,3,
2016/10/10(一),桃園,義大犀牛,,Lamigo桃猿,,11905
,,,,,,
,,,,,,
,,,,,,
,,0,1,1,1,
2016/10/10(一),台南,中信兄弟,,統一7-ELEVEn獅,,4195
,,,,,,
,,,,,,
,,,,,,
,,1,0,0,2,
2016/10/9(日),斗六,Lamigo桃猿,,義大犀牛,,3022
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,0,1,0,0,
2016/10/8(六),斗六,Lamigo桃猿,,義大犀牛,,6885
,,,,,,
,,1,1,0,1,
2016/10/8(六),台南,中信兄弟,,統一7-ELEVEn獅,,5092
,,1,0,0,3,
2016/10/7(五),斗六,Lamigo桃猿,,中信兄弟,,5459
,,,,,,
,,2,2,0,0,
2016/10/6(四),洲際,Lamigo桃猿,,中信兄弟,,3117
,,,,,,
,,0,2,3,0,
2016/10/5(三),台南,中信兄弟,,統一7-ELEVEn獅,,3216
,,0,0,1,1,
2016/10/5(三),洲際,Lamigo桃猿,,義大犀牛,,3928
,,,,,,
,,2,1,2,0,
2016/10/4(二),台南,中信兄弟,,統一7-ELEVEn獅,,3026
,,0,1,0,1,
2016/10/4(二),洲際,Lamigo桃猿,,義大犀牛,,2693
,,0,1,0,1,
2016/10/2(日),洲際,Lamigo桃猿,,義大犀牛,,3811
,,0,0,1,0,
2016/10/2(日),台南,中信兄弟,,統一7-ELEVEn獅,,5450
,,,,,,
,,,,,,
,,,,,,
,,3,1,2,2,
2016/10/1(六),桃園,統一7-ELEVEn獅,,Lamigo桃猿,,6813
,,,,,,
,,1,3,0,1,
2016/10/1(六),洲際,義大犀牛,,中信兄弟,,9704
,,2,0,0,0,
2016/9/30(五),洲際,中信兄弟,,義大犀牛,,2888
,,1,0,2,0,
2016/9/29(四),洲際,Lamigo桃猿,,義大犀牛,,2988
,,,,,,
,,0,0,2,0,
2016/9/26(一),洲際,Lamigo桃猿,,中信兄弟,,3334
,,1,1,2,2,
2016/9/25(日),洲際,中信兄弟,,義大犀牛,,3979
,,0,0,1,0,
2016/9/25(日),台南,Lamigo桃猿,,統一7-ELEVEn獅,,6249
,,,,,,
,,,,,,
,,1,1,2,1,
2016/9/24(六),洲際,中信兄弟,,義大犀牛,,7981
,,1,2,1,0,
2016/9/24(六),台南,Lamigo桃猿,,統一7-ELEVEn獅,,5498
,,,,,,
,,1,0,2,0,
2016/9/23(五),洲際,中信兄弟,,義大犀牛,,3229
,,0,1,1,0,
2016/9/23(五),台南,Lamigo桃猿,,統一7-ELEVEn獅,,3152
,,3,0,1,1,
2016/9/22(四),洲際,統一7-ELEVEn獅,,義大犀牛,,2735
,,0,2,0,0,
2016/9/22(四),桃園,中信兄弟,,Lamigo桃猿,,3434
,,3,0,3,0,
2016/9/21(三),洲際,統一7-ELEVEn獅,,義大犀牛,,2783
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,4,2,3,3,
2016/9/20(二),桃園,中信兄弟,,Lamigo桃猿,,3157
,,,,,,
,,2,2,0,0,
2016/9/18(日),桃園,義大犀牛,,Lamigo桃猿,,20052
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,4,0,2,0,
2016/9/18(日),新莊,統一7-ELEVEn獅,,中信兄弟,,6352
,,1,0,1,2,
2016/9/18(日),新莊,統一7-ELEVEn獅,,中信兄弟,,7018
,,,,,,
,,3,2,2,0,
2016/9/16(五),桃園,義大犀牛,,Lamigo桃猿,,6397
,,,,,,
,,3,2,2,0,
2016/9/16(五),新莊,統一7-ELEVEn獅,,中信兄弟,,6082
,,,,,,
,,1,1,2,0,
2016/9/15(四),桃園,統一7-ELEVEn獅,,Lamigo桃猿,,5132
,,0,2,1,0,
2016/9/15(四),新莊,義大犀牛,,中信兄弟,,5071
,,2,1,3,2,
2016/9/13(二),新竹,義大犀牛,,中信兄弟,,4206
,,2,1,2,2,
2016/9/11(日),洲際,Lamigo桃猿,,中信兄弟,,5813
,,,,,,
,,0,0,0,0,
2016/9/11(日),台南,義大犀牛,,統一7-ELEVEn獅,,4166
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,8,0,0,1,
2016/9/10(六),台南,義大犀牛,,統一7-ELEVEn獅,,3182
,,0,3,1,1,
2016/9/9(五),台南,義大犀牛,,統一7-ELEVEn獅,,3052
,,0,0,1,2,
2016/9/8(四),新莊,Lamigo桃猿,,義大犀牛,,3099
,,0,3,2,0,
2016/9/7(三),新莊,Lamigo桃猿,,義大犀牛,,2818
,,,,,,
,,,,,,
,,1,1,1,3,
2016/9/4(日),桃園,中信兄弟,,Lamigo桃猿,,9209
,,,,,,
,,0,2,1,1,
2016/9/4(日),新莊,統一7-ELEVEn獅,,義大犀牛,,3283
,,1,0,0,1,
2016/9/4(日),新莊,統一7-ELEVEn獅,,義大犀牛,,2752
,,,,,,
,,,,,,
,,,,,,
,,1,1,0,1,
2016/9/3(六),桃園,中信兄弟,,Lamigo桃猿,,13637
,,,,,,
,,,,,,
,,0,1,4,1,
2016/9/3(六),新莊,統一7-ELEVEn獅,,義大犀牛,,3607
,,,,,,
,,,,,,
,,,,,,
,,1,0,1,0,
2016/9/2(五),桃園,中信兄弟,,Lamigo桃猿,,13963
,,,,,,
,,,,,,
,,1,1,2,0,
2016/9/1(四),桃園,義大犀牛,,Lamigo桃猿,,3262
,,0,0,0,3,
2016/9/1(四),新莊,統一7-ELEVEn獅,,中信兄弟,,3069
,,,,,,
,,,,,,
,,,,,,
,,0,1,4,0,
2016/8/31(三),桃園,義大犀牛,,Lamigo桃猿,,3766
,,1,0,2,0,
2016/8/30(二),新莊,統一7-ELEVEn獅,,中信兄弟,,3035
,,,,,,
,,,,,,
,,0,0,2,1,
2016/8/28(日),桃園,統一7-ELEVEn獅,,Lamigo桃猿,,6034
,,,,,,
,,1,0,0,0,
2016/8/28(日),新莊,義大犀牛,,中信兄弟,,6420
,,0,0,2,2,
2016/8/27(六),桃園,統一7-ELEVEn獅,,Lamigo桃猿,,10919
,,,,,,
,,,,,,
,,,,,,
,,2,0,2,2,
2016/8/27(六),新莊,義大犀牛,,中信兄弟,,10702
,,0,3,2,0,
2016/8/26(五),桃園,統一7-ELEVEn獅,,Lamigo桃猿,,6269
,,2,1,1,0,
2016/8/26(五),新莊,義大犀牛,,中信兄弟,,6052
,,1,0,1,1,
2016/8/25(四),台南,義大犀牛,,統一7-ELEVEn獅,,3039
,,,,,,
,,,,,,
,,1,3,2,0,
2016/8/25(四),新竹,Lamigo桃猿,,中信兄弟,,7103
,,2,2,2,2,
2016/8/24(三),台南,義大犀牛,,統一7-ELEVEn獅,,3048
,,,,,,
,,1,1,2,1,
2016/8/21(日),新莊,中信兄弟,,統一7-ELEVEn獅,,5288
,,0,0,0,4,
2016/8/20(六),新莊,中信兄弟,,統一7-ELEVEn獅,,7121
,,0,0,0,1,
2016/8/19(五),新竹,中信兄弟,,統一7-ELEVEn獅,,5018
,,,,,,
,,,,,,
,,2,1,2,2,
2016/8/18(四),新竹,中信兄弟,,義大犀牛,,3926
,,1,1,0,0,
2016/8/17(三),新竹,中信兄弟,,義大犀牛,,3573
,,,,,,
,,,,,,
,,1,0,2,1,
2016/8/16(二),嘉義市,Lamigo桃猿,,統一7-ELEVEn獅,,4016
,,0,0,1,2,
2016/8/14(日),洲際,統一7-ELEVEn獅,,中信兄弟,,6635
,,3,1,1,0,
2016/8/14(日),桃園,義大犀牛,,Lamigo桃猿,,7841
,,,,,,
,,0,2,2,1,
2016/8/14(日),洲際,統一7-ELEVEn獅,,中信兄弟,,3885
,,0,1,1,2,
2016/8/13(六),洲際,統一7-ELEVEn獅,,中信兄弟,,11324
,,3,0,1,3,
2016/8/13(六),桃園,義大犀牛,,Lamigo桃猿,,10315
,,0,1,0,0,
2016/8/12(五),桃園,義大犀牛,,Lamigo桃猿,,5717
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,2,1,2,0,
2016/8/11(四),洲際,Lamigo桃猿,,中信兄弟,,4059
,,,,,,
,,5,1,1,1,
2016/8/11(四),新莊,統一7-ELEVEn獅,,義大犀牛,,2873
,,,,,,
,,,,,,
,,2,1,0,2,
2016/8/10(三),洲際,Lamigo桃猿,,中信兄弟,,4639
,,,,,,
,,,,,,
,,1,1,0,2,
2016/8/9(二),新莊,統一7-ELEVEn獅,,義大犀牛,,2771
,,2,2,1,2,
2016/8/7(日),台南,Lamigo桃猿,,統一7-ELEVEn獅,,4108
,,,,,,
,,,,,,
,,0,0,1,0,
2016/8/7(日),新莊,中信兄弟,,義大犀牛,,4824
,,1,2,0,0,
2016/8/6(六),台南,Lamigo桃猿,,統一7-ELEVEn獅,,5360
,,3,1,0,3,
2016/8/6(六),新莊,中信兄弟,,義大犀牛,,8590
,,3,2,0,0,
2016/8/5(五),台南,Lamigo桃猿,,統一7-ELEVEn獅,,3555
,,,,,,
,,3,0,3,1,
2016/8/5(五),新莊,中信兄弟,,義大犀牛,,4585
,,1,1,1,2,
2016/8/4(四),台南,中信兄弟,,統一7-ELEVEn獅,,4070
,,1,0,2,2,
2016/8/4(四),新竹,Lamigo桃猿,,義大犀牛,,2963
,,1,3,1,2,
2016/8/3(三),台南,中信兄弟,,統一7-ELEVEn獅,,4276
,,,,,,
,,0,3,1,1,
2016/7/31(日),台南,義大犀牛,,統一7-ELEVEn獅,,3552
,,,,,,
,,1,1,0,0,
2016/7/31(日),桃園,中信兄弟,,Lamigo桃猿,,11103
,,1,2,1,0,
2016/7/30(六),台南,義大犀牛,,統一7-ELEVEn獅,,4506
,,,,,,
,,1,3,1,2,
2016/7/30(六),桃園,中信兄弟,,Lamigo桃猿,,15513
,,,,,,
,,,,,,
,,3,0,1,1,
2016/7/29(五),台南,義大犀牛,,統一7-ELEVEn獅,,3218
,,0,0,1,2,
2016/7/29(五),桃園,中信兄弟,,Lamigo桃猿,,10093
,,,,,,
,,,,,,
,,4,0,2,0,
2016/7/28(四),洲際,義大犀牛,,中信兄弟,,4091
,,1,1,2,0,
2016/7/28(四),桃園,統一7-ELEVEn獅,,Lamigo桃猿,,4517
,,,,,,
,,1,1,4,2,
2016/7/27(三),洲際,義大犀牛,,中信兄弟,,4253
,,3,2,2,1,
2016/7/26(二),桃園,統一7-ELEVEn獅,,Lamigo桃猿,,4422
,,0,1,0,0,
2016/7/24(日),新莊,Lamigo桃猿,,中信兄弟,,8882
,,,,,,
,,,,,,
,,3,2,2,1,
2016/7/24(日),澄清湖,統一7-ELEVEn獅,,義大犀牛,,4991
,,1,1,0,3,
2016/7/23(六),新莊,Lamigo桃猿,,中信兄弟,,11866
,,,,,,
,,,,,,
,,2,0,1,2,
2016/7/23(六),澄清湖,統一7-ELEVEn獅,,義大犀牛,,4898
,,2,1,0,1,
2016/7/22(五),新莊,Lamigo桃猿,,中信兄弟,,6379
,,,,,,
,,0,1,2,1,
2016/7/22(五),澄清湖,統一7-ELEVEn獅,,義大犀牛,,2848
,,2,2,0,0,
2016/7/21(四),羅東,統一7-ELEVEn獅,,中信兄弟,,5000
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,2,4,2,1,
2016/7/21(四),桃園,義大犀牛,,Lamigo桃猿,,4752
,,,,,,
,,,,,,
,,2,3,3,2,
2016/7/20(三),花蓮,統一7-ELEVEn獅,,中信兄弟,,5275
,,,,,,
,,0,0,0,1,
2016/7/19(二),桃園,義大犀牛,,Lamigo桃猿,,4128
,,,,,,
,,,,,,
,,,,,,
,,5,0,2,0,
2016/7/14(四),花蓮,Lamigo桃猿,,統一7-ELEVEn獅,,4590
,,,,,,
,,4,1,1,1,
2016/7/14(四),澄清湖,中信兄弟,,義大犀牛,,4728
,,1,2,1,0,
2016/7/13(三),花蓮,Lamigo桃猿,,統一7-ELEVEn獅,,4598
,,,,,,
,,,,,,
,,3,1,2,1,
2016/7/9(六),澄清湖,Lamigo桃猿,,義大犀牛,,5850
,,0,0,0,0,
2016/7/7(四),斗六,義大犀牛,,統一7-ELEVEn獅,,4568
,,1,0,2,1,
2016/7/6(三),桃園,中信兄弟,,Lamigo桃猿,,5551
,,,,,,
,,0,0,1,0,
2016/7/5(二),嘉義市,義大犀牛,,統一7-ELEVEn獅,,3348
,,1,0,1,0,
2016/7/3(日),桃園,統一7-ELEVEn獅,,Lamigo桃猿,,5809
,,,,,,
,,,,,,
,,,,,,
,,0,0,4,1,
2016/7/2(六),桃園,統一7-ELEVEn獅,,Lamigo桃猿,,10531
,,,,,,
,,5,1,1,1,
2016/7/2(六),洲際,義大犀牛,,中信兄弟,,10485
,,3,1,1,0,
2016/7/2(六),洲際,義大犀牛,,中信兄弟,,4327
,,1,0,0,2,
2016/7/1(五),桃園,統一7-ELEVEn獅,,Lamigo桃猿,,5129
,,,,,,
,,1,1,0,0,
2016/6/26(日),澄清湖,中信兄弟,,統一7-ELEVEn獅,,3428
,,2,1,0,3,
2016/6/25(六),洲際,義大犀牛,,中信兄弟,,4843
,,,,,,
,,3,1,1,5,
2016/6/23(四),新莊,義大犀牛,,中信兄弟,,3554
,,,,,,
,,,,,,
,,0,1,2,1,
2016/6/19(日),斗六,義大犀牛,,統一7-ELEVEn獅,,2707
,,0,2,0,1,
2016/6/18(六),新莊,Lamigo桃猿,,中信兄弟,,8694
,,1,0,1,3,
2016/6/18(六),嘉義市,義大犀牛,,統一7-ELEVEn獅,,3082
,,1,0,0,3,
2016/6/17(五),新竹,Lamigo桃猿,,統一7-ELEVEn獅,,3055
,,,,,,
,,,,,,
,,3,0,1,0,
2016/6/16(四),澄清湖,中信兄弟,,義大犀牛,,2907
,,2,0,0,1,
2016/6/16(四),新竹,Lamigo桃猿,,統一7-ELEVEn獅,,5016
,,,,,,
,,2,1,0,1,
2016/6/14(二),澄清湖,Lamigo桃猿,,義大犀牛,,2763
,,1,1,1,2,
2016/6/14(二),斗六,中信兄弟,,統一7-ELEVEn獅,,3318
,,,,,,
,,,,,,
,,1,2,0,1,
2016/6/12(日),桃園,統一7-ELEVEn獅,,Lamigo桃猿,,4151
,,2,1,2,1,
2016/6/12(日),桃園,統一7-ELEVEn獅,,Lamigo桃猿,,4815
,,,,,,
,,,,,,
,,1,1,0,0,
2016/6/11(六),桃園,統一7-ELEVEn獅,,Lamigo桃猿,,10062
,,1,0,1,0,
2016/6/10(五),洲際,義大犀牛,,中信兄弟,,19483
,,0,0,1,1,
2016/6/9(四),桃園,中信兄弟,,Lamigo桃猿,,11515
,,,,,,
,,3,1,0,0,
2016/6/9(四),澄清湖,義大犀牛,,統一7-ELEVEn獅,,3608
,,1,0,1,1,
2016/6/8(三),桃園,中信兄弟,,Lamigo桃猿,,6511
,,,,,,
,,3,1,4,0,
2016/6/7(二),嘉義市,義大犀牛,,統一7-ELEVEn獅,,3528
,,2,1,0,1,
2016/6/5(日),洲際,Lamigo桃猿,,義大犀牛,,4450
,,,,,,
,,3,2,0,0,
2016/6/4(六),洲際,Lamigo桃猿,,義大犀牛,,4245
,,,,,,
,,,,,,
,,2,1,0,0,
2016/6/4(六),澄清湖,中信兄弟,,統一7-ELEVEn獅,,6034
,,,,,,
,,1,1,1,2,
2016/6/3(五),洲際,Lamigo桃猿,,義大犀牛,,2876
,,,,,,
,,8,1,1,1,
2016/6/3(五),新竹,中信兄弟,,統一7-ELEVEn獅,,6258
,,4,1,0,0,
2016/6/2(四),澄清湖,中信兄弟,,義大犀牛,,4565
,,,,,,
,,0,1,0,1,
2016/6/2(四),新竹,Lamigo桃猿,,統一7-ELEVEn獅,,3226
,,,,,,
,,,,,,
,,,,,,
,,1,1,1,0,
2016/6/1(三),澄清湖,中信兄弟,,義大犀牛,,4239
,,2,0,0,3,
2016/5/31(二),斗六,Lamigo桃猿,,統一7-ELEVEn獅,,5020
,,0,1,0,2,
2016/5/29(日),新莊,Lamigo桃猿,,中信兄弟,,11903
,,1,0,0,1,
2016/5/29(日),花蓮,統一7-ELEVEn獅,,義大犀牛,,4128
,,2,2,2,0,
2016/5/28(六),新莊,Lamigo桃猿,,中信兄弟,,12500
,,,,,,
,,,,,,
,,1,1,1,2,
2016/5/28(六),花蓮,統一7-ELEVEn獅,,義大犀牛,,4585
,,4,1,1,1,
2016/5/28(六),花蓮,統一7-ELEVEn獅,,義大犀牛,,3528
,,1,0,2,2,
2016/5/27(五),新莊,Lamigo桃猿,,中信兄弟,,7359
,,,,,,
,,,,,,
,,,,,,
,,0,1,2,2,
2016/5/26(四),桃園,義大犀牛,,Lamigo桃猿,,4102
,,1,1,1,0,
2016/5/25(三),新竹,統一7-ELEVEn獅,,中信兄弟,,6762
,,,,,,
,,1,1,2,5,
2016/5/24(二),桃園,義大犀牛,,Lamigo桃猿,,3214
,,0,0,0,1,
2016/5/22(日),桃園,中信兄弟,,Lamigo桃猿,,9097
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,0,0,1,1,
2016/5/21(六),桃園,中信兄弟,,Lamigo桃猿,,15471
,,,,,,
,,,,,,
,,,,,,
,,2,1,0,1,
2016/5/21(六),台南,義大犀牛,,統一7-ELEVEn獅,,4056
,,1,1,0,0,
2016/5/20(五),桃園,中信兄弟,,Lamigo桃猿,,7167
,,,,,,
,,,,,,
,,1,1,0,1,
2016/5/20(五),台南,義大犀牛,,統一7-ELEVEn獅,,3262
,,1,1,2,1,
2016/5/19(四),澄清湖,Lamigo桃猿,,義大犀牛,,2866
,,0,2,0,2,
2016/5/19(四),嘉義市,中信兄弟,,統一7-ELEVEn獅,,5439
,,1,0,0,0,
2016/5/18(三),澄清湖,Lamigo桃猿,,義大犀牛,,2769
,,2,1,2,1,
2016/5/17(二),斗六,中信兄弟,,統一7-ELEVEn獅,,6626
,,,,,,
,,,,,,
,,2,0,2,0,
2016/5/15(日),台南,Lamigo桃猿,,統一7-ELEVEn獅,,4235
,,1,1,0,1,
2016/5/15(日),澄清湖,中信兄弟,,義大犀牛,,8562
,,,,,,
,,,,,,
,,4,1,0,1,
2016/5/14(六),台南,Lamigo桃猿,,統一7-ELEVEn獅,,5356
,,0,0,2,1,
2016/5/14(六),澄清湖,中信兄弟,,義大犀牛,,10967
,,,,,,
,,,,,,
,,2,0,0,2,
2016/5/13(五),台南,Lamigo桃猿,,統一7-ELEVEn獅,,6058
,,1,1,2,0,
2016/5/13(五),澄清湖,中信兄弟,,義大犀牛,,4935
,,,,,,
,,,,,,
,,1,1,3,3,
2016/5/12(四),洲際,Lamigo桃猿,,中信兄弟,,5453
,,,,,,
,,2,0,1,0,
2016/5/12(四),澄清湖,統一7-ELEVEn獅,,義大犀牛,,2788
,,1,1,0,0,
2016/5/11(三),洲際,Lamigo桃猿,,中信兄弟,,5277
,,,,,,
,,,,,,
,,1,0,0,1,
2016/5/10(二),澄清湖,統一7-ELEVEn獅,,義大犀牛,,2752
,,0,0,0,0,
2016/5/8(日),桃園,義大犀牛,,Lamigo桃猿,,5634
,,0,0,1,0,
2016/5/8(日),新莊,統一7-ELEVEn獅,,中信兄弟,,8709
,,,,,,
,,2,3,1,3,
2016/5/7(六),桃園,義大犀牛,,Lamigo桃猿,,9467
,,2,0,2,0,
2016/5/7(六),新莊,統一7-ELEVEn獅,,中信兄弟,,11142
,,,,,,
,,,,,,
,,3,3,3,2,
2016/5/6(五),桃園,義大犀牛,,Lamigo桃猿,,4195
,,,,,,
,,2,1,1,1,
2016/5/6(五),新莊,統一7-ELEVEn獅,,中信兄弟,,5173
,,,,,,
,,0,1,2,3,
2016/5/5(四),桃園,統一7-ELEVEn獅,,Lamigo桃猿,,3103
,,5,0,1,1,
2016/5/5(四),新竹,義大犀牛,,中信兄弟,,7210
,,,,,,
,,2,4,5,2,
2016/5/4(三),桃園,統一7-ELEVEn獅,,Lamigo桃猿,,3112
,,2,1,1,2,
2016/5/3(二),洲際,義大犀牛,,中信兄弟,,6311
,,,,,,
,,1,0,1,2,
2016/5/1(日),新莊,中信兄弟,,統一7-ELEVEn獅,,6005
,,1,2,0,0,
2016/5/1(日),澄清湖,Lamigo桃猿,,義大犀牛,,4524
,,2,3,2,3,
2016/4/30(六),新莊,中信兄弟,,統一7-ELEVEn獅,,7503
,,1,0,0,1,
2016/4/30(六),澄清湖,Lamigo桃猿,,義大犀牛,,6836
,,0,1,0,0,
2016/4/29(五),新竹,中信兄弟,,統一7-ELEVEn獅,,8086
,,2,2,0,1,
2016/4/29(五),澄清湖,Lamigo桃猿,,義大犀牛,,2818
,,0,0,1,0,
2016/4/28(四),新竹,義大犀牛,,統一7-ELEVEn獅,,3112
,,0,0,2,1,
2016/4/28(四),洲際,Lamigo桃猿,,中信兄弟,,5685
,,1,2,2,0,
2016/4/27(三),斗六,義大犀牛,,統一7-ELEVEn獅,,4668
,,,,,,
,,4,1,3,1,
2016/4/26(二),嘉義市,Lamigo桃猿,,中信兄弟,,6229
,,,,,,
,,3,1,0,0,
2016/4/24(日),桃園,統一7-ELEVEn獅,,Lamigo桃猿,,5656
,,,,,,
,,0,0,1,0,
2016/4/24(日),洲際,義大犀牛,,中信兄弟,,8501
,,,,,,
,,,,,,
,,2,3,1,0,
2016/4/23(六),桃園,統一7-ELEVEn獅,,Lamigo桃猿,,10884
,,1,2,3,1,
2016/4/23(六),洲際,義大犀牛,,中信兄弟,,13715
,,,,,,
,,,,,,
,,0,0,2,1,
2016/4/22(五),桃園,統一7-ELEVEn獅,,Lamigo桃猿,,4718
,,0,2,1,2,
2016/4/22(五),洲際,義大犀牛,,中信兄弟,,5501
,,2,1,0,0,
2016/4/21(四),洲際,統一7-ELEVEn獅,,中信兄弟,,3828
,,1,0,1,0,
2016/4/20(三),桃園,義大犀牛,,Lamigo桃猿,,3509
,,0,0,1,1,
2016/4/19(二),洲際,統一7-ELEVEn獅,,中信兄弟,,3195
,,,,,,
,,2,2,1,2,
2016/4/17(日),桃園,中信兄弟,,Lamigo桃猿,,7119
,,0,1,1,2,
2016/4/17(日),澄清湖,統一7-ELEVEn獅,,義大犀牛,,2835
,,,,,,
,,0,0,4,0,
2016/4/17(日),桃園,中信兄弟,,Lamigo桃猿,,5157
,,,,,,
,,1,2,1,4,
2016/4/16(六),桃園,中信兄弟,,Lamigo桃猿,,15319
,,2,0,1,2,
2016/4/16(六),澄清湖,統一7-ELEVEn獅,,義大犀牛,,4022
,,2,1,1,0,
2016/4/15(五),澄清湖,統一7-ELEVEn獅,,義大犀牛,,2828
,,1,0,0,0,
2016/4/12(二),澄清湖,中信兄弟,,義大犀牛,,4697
,,0,3,3,0,
2016/4/9(六),新莊,Lamigo桃猿,,中信兄弟,,12500
,,,,,,
,,1,0,1,0,
2016/4/9(六),洲際,義大犀牛,,統一7-ELEVEn獅,,5120
,,1,1,1,0,
2016/4/8(五),新莊,Lamigo桃猿,,中信兄弟,,8537
,,0,2,1,1,
2016/4/8(五),洲際,義大犀牛,,統一7-ELEVEn獅,,2677
,,2,1,0,2,
2016/4/7(四),洲際,義大犀牛,,中信兄弟,,4350
,,1,1,3,3,
2016/4/7(四),桃園,統一7-ELEVEn獅,,Lamigo桃猿,,3434
,,2,5,1,0,
2016/4/6(三),洲際,義大犀牛,,中信兄弟,,4176
,,,,,,
,,2,0,2,2,
2016/4/5(二),桃園,統一7-ELEVEn獅,,Lamigo桃猿,,5612
,,,,,,
,,1,2,0,2,
2016/4/4(一),桃園,義大犀牛,,Lamigo桃猿,,9412
,,0,1,3,3,
2016/4/3(日),洲際,統一7-ELEVEn獅,,中信兄弟,,14509
,,0,4,2,3,
2016/4/3(日),桃園,義大犀牛,,Lamigo桃猿,,9165
,,4,1,1,3,
2016/4/2(六),洲際,統一7-ELEVEn獅,,中信兄弟,,13180
,,2,0,2,0,
2016/4/2(六),桃園,義大犀牛,,Lamigo桃猿,,11017
,,0,1,1,1,
2016/4/1(五),洲際,統一7-ELEVEn獅,,中信兄弟,,6272
,,,,,,
,,4,1,3,2,
2016/4/1(五),桃園,義大犀牛,,Lamigo桃猿,,4561
,,1,0,0,1,
2016/3/31(四),新莊,統一7-ELEVEn獅,,義大犀牛,,2647
,,,,,,
,,2,1,0,1,
2016/3/30(三),新莊,統一7-ELEVEn獅,,義大犀牛,,2860
,,1,0,2,0,
2016/3/29(二),桃園,中信兄弟,,Lamigo桃猿,,5258
,,1,1,0,3,
2016/3/27(日),嘉義市,Lamigo桃猿,,統一7-ELEVEn獅,,5039
,,1,1,0,1,
2016/3/27(日),澄清湖,中信兄弟,,義大犀牛,,4866
,,1,0,0,4,
2016/3/27(日),嘉義市,Lamigo桃猿,,統一7-ELEVEn獅,,3411
,,1,1,0,0,
2016/3/27(日),澄清湖,中信兄弟,,義大犀牛,,2967
,,1,2,0,1,
2016/3/26(六),斗六,Lamigo桃猿,,統一7-ELEVEn獅,,6039
,,1,2,1,3,
2016/3/26(六),澄清湖,中信兄弟,,義大犀牛,,12992
,,1,2,0,1,
2016/3/24(四),花蓮,中信兄弟,,統一7-ELEVEn獅,,5006
,,2,1,3,3,
2016/3/22(二),澄清湖,Lamigo桃猿,,義大犀牛,,8088
,,2,2,1,2,
2016/3/20(日),新莊,統一7-ELEVEn獅,,中信兄弟,,10366
,,2,0,0,2,
2016/3/19(六),桃園,中信兄弟,,Lamigo桃猿,,19393
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,4,0,3,3,
